21.9883	-43.86697	355.51051	-51.71939	4.0	0.9	2275.0	14.02	0.23	12.7	-19.
10.78445	17.27369	225.35091	59.6722	5.1	1.1	1610.0	12.31	0.28	11.7	-19.
22.68181	75.16472	114.7362	14.41139	5.8	0.5	1428.0	15.5	0.5	12.7	-19.
22.94352	71.4802	114.00179	10.62779	9.9	0.4	1393.0	16.17	0.39	14.5	-17.
22.95039	72.7091	114.57582	11.72052	10.0	0.5	2532.0	17.24	0.43	14.6	-18.
13.54188	1.84766	325.93168	62.87064	2.1	0.4	3573.0	14.27	0.24	14.0	-19.
13.5447	-77.84386	305.1698	-15.1516	0.2	0.7	3052.0	13.27	0.5	12.1	-20.
20.7326	-80.00082	313.27336	-31.46065	-2.0	0.4	2620.0	13.19	0.34	12.1	-20.
23.55465	-54.09449	325.63335	-59.45325	5.9	0.3	1790.0	12.14	0.07	11.7	-20.
3.29159	-8.14523	191.0404	-50.59509	5.0	5.0	1869.0	15.74	0.31	15.0	-17.
21.70747	-6.33175	48.9483	-40.59868	9.0	2.0	935.0	15.51	0.38	14.9	-16.
17.37312	-5.69319	17.15481	16.87471	7.0	5.0	1618.0	17.36	0.5	13.7	-18.
20.34216	-4.89948	38.88735	-22.02633	9.0	1.7	1131.0	16.11	0.72	14.9	-16.
9.75682	-48.14112	273.90244	3.96458	8.0	1.4	1127.0	16.9	0.5	13.6	-16.
9.88636	-49.33042	275.65182	3.86338	7.0	2.0	2503.0	17.3	0.5	14.7	-17.
9.91919	-60.67219	282.93891	-4.83823	5.0	3.0	3486.0	16.1	0.5	13.5	-19.
10.62167	-54.9352	284.4006	3.0366	5.0	3.0	2901.0	16.1	0.5	12.2	-20.
17.65676	-67.81846	325.18843	-18.56367	6.7	1.2	3276.0	15.08	0.5	14.7	-18.
9.97045	-29.41403	263.486	19.89207	5.0	2.0	2623.0	15.36	0.5	14.9	-17.
3.33503	41.63005	150.55669	-13.13156	-4.9	0.4	4064.0	14.53	0.1	13.7	-20.
23.60416	-37.9382	353.80316	-70.8772	6.7	0.8	434.0	11.49	0.22	10.7	-18.
15.52216	40.28115	65.1486	54.60002	5.9	0.4	6694.0	15.79	0.41	14.4	-20.
9.49294	62.49064	151.46128	41.76675	-2.7	0.6	1596.0	12.52	0.06	12.3	-19.
